Node,Load,Algorithm,Time
H,100,Algorithm1,0.00463
H,100,Algorithm1,0.00474
H,100,Algorithm1,0.00476
H,100,Algorithm1,0.00462
H,100,Algorithm1,0.00465
H,100,Algorithm1,0.00477
H,100,Algorithm1,0.00460
H,100,Algorithm1,0.00461
H,100,Algorithm1,0.00480
H,100,Algorithm1,0.00469
H,100,Algorithm1,0.00460
H,100,Algorithm2,0.02746
H,100,Algorithm2,0.02732
H,100,Algorithm2,0.02668
H,100,Algorithm2,0.02736
H,100,Algorithm2,0.02700
H,100,Algorithm2,0.02679
H,100,Algorithm2,0.02663
H,100,Algorithm2,0.02683
H,100,Algorithm2,0.02661
H,100,Algorithm2,0.02674
H,100,Algorithm2,0.02676
H,100,Algorithm2,0.02731
H,100,Algorithm2,0.02681
H,100,Algorithm2,0.02714
H,100,Algorithm2,0.02669
H,100,Algorithm2,0.02730
H,100,Algorithm2,0.02685
H,100,Algorithm2,0.02723
H,100,Algorithm2,0.02672
H,100,Algorithm2,0.02680
H,100,Algorithm3,0.00800
H,100,Algorithm3,0.00801
H,100,Algorithm3,0.00836
H,100,Algorithm3,0.00804
H,100,Algorithm3,0.00819
H,100,Algorithm3,0.00870
H,100,Algorithm3,0.00847
H,100,Algorithm3,0.00835
H,100,Algorithm3,0.00848
H,100,Algorithm3,0.00857
H,100,Algorithm3,0.00868
H,100,Algorithm3,0.00839
H,100,Algorithm3,0.00841
H,100,Algorithm3,0.00844
H,100,Algorithm3,0.00853
H,100,Algorithm3,0.00794
H,100,Algorithm3,0.00835
H,100,Algorithm3,0.00803
H,100,Algorithm3,0.00854
H,100,Algorithm3,0.00841
H,1000,Algorithm1,4.55570
H,1000,Algorithm1,4.54347
H,1000,Algorithm1,4.57356
H,1000,Algorithm1,4.57270
H,1000,Algorithm1,4.56042
H,1000,Algorithm1,4.56238
H,1000,Algorithm1,4.57931
H,1000,Algorithm1,4.57646
H,1000,Algorithm1,4.56524
H,1000,Algorithm1,4.57046
H,1000,Algorithm1,4.57263
H,1000,Algorithm1,4.54471
H,1000,Algorithm1,4.56882
H,1000,Algorithm1,4.55307
H,1000,Algorithm1,4.57020
H,1000,Algorithm1,4.55246
H,1000,Algorithm1,4.55091
H,1000,Algorithm1,4.55849
H,1000,Algorithm1,4.54068
H,1000,Algorithm1,4.55300
H,1000,Algorithm2,27.74609
H,1000,Algorithm2,27.80767
H,1000,Algorithm2,27.86223
H,1000,Algorithm2,27.49978
H,1000,Algorithm2,28.10231
H,1000,Algorithm2,28.11578
H,1000,Algorithm2,28.10013
H,1000,Algorithm2,27.84969
H,1000,Algorithm2,27.50313
H,1000,Algorithm2,27.73241
H,1000,Algorithm2,27.89402
H,1000,Algorithm2,28.41352
H,1000,Algorithm2,27.96901
H,1000,Algorithm2,27.69007
H,1000,Algorithm2,27.54519
H,1000,Algorithm2,27.84252
H,1000,Algorithm2,27.82366
H,1000,Algorithm2,28.12677
H,1000,Algorithm2,28.00029
H,1000,Algorithm2,28.11153
H,1000,Algorithm3,11.06088
H,1000,Algorithm3,11.28589
H,1000,Algorithm3,11.08991
H,1000,Algorithm3,11.28620
H,1000,Algorithm3,10.95845
H,1000,Algorithm3,11.24276
